last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Cessa, Luis,570666,CIN,SL,Slider,2.4,5,203,40.5,52,0.196,0.478,0.328,36.70,34.6,22.5,0.244,0.508,0.357,42.9
Festa, Matthew,670036,SEA,FF,4-Seamer,-1.4,-3,186,44.6,52,0.133,0.444,0.296,35.10,34.6,28.6,0.183,0.471,0.327,29.6
Cimber, Adam,643256,TOR,SIFT,Sinker,1.4,3,188,33.5,52,0.36,0.5,0.398,15.60,5.8,16.7,0.342,0.448,0.347,47.9
Whitlock, Garrett,676477,BOS,CH,Changeup,-3.5,-6,159,19.9,51,0.06,0.08,0.091,29.90,25.5,21,0.202,0.288,0.219,24.3
López, Reynaldo,625643,CWS,SL,Slider,-1,-2,229,35.2,51,0.204,0.286,0.24,39.60,29.4,22.1,0.207,0.283,0.219,34.3
Junis, Jakob,596001,SF,SIFT,Sinker,-0.4,-1,231,31.1,51,0.298,0.532,0.38,17.90,13.7,17.9,0.323,0.603,0.412,50
Castillo, Luis,622491,CIN,SL,Slider,-1.6,-4,280,20.9,51,0.167,0.271,0.222,25.40,17.6,11.7,0.23,0.375,0.282,28.2
Staumont, Josh,622251,KC,FF,4-Seamer,-1.5,-4,250,49.6,51,0.175,0.225,0.288,30.80,23.5,18.5,0.25,0.407,0.368,35.7
Brash, Matt,666374,SEA,FF,4-Seamer,1.1,2,208,43.4,51,0.333,0.444,0.446,22.50,11.8,11.8,0.363,0.635,0.5,56.7
Leiter Jr., Mark,643410,CHC,CH,Changeup,-4.3,-5,111,17.5,51,0.064,0.085,0.115,50.80,54.9,36.4,0.106,0.137,0.151,10.5
Pérez, Cionel,672335,BAL,SL,Slider,0.1,0,183,38.4,51,0.244,0.311,0.298,33.30,27.5,19.4,0.273,0.381,0.329,32.3
Woodruff, Brandon,605540,MIL,CH,Changeup,-0.9,-2,209,17.7,51,0.191,0.298,0.254,57.30,47.1,32,0.18,0.226,0.217,21.7
Boxberger, Brad,502202,MIL,CH,Changeup,-3.1,-5,147,25,51,0.2,0.267,0.267,21.20,13.7,12.7,0.254,0.389,0.311,33.3
Kinley, Tyler,641755,COL,SL,Slider,-2,-4,196,52.1,51,0.196,0.216,0.201,47.00,49,31.3,0.153,0.211,0.155,23.1
King, Michael,650633,NYY,FF,4-Seamer,1.2,2,167,22.6,51,0.222,0.378,0.313,34.50,39.2,29,0.222,0.391,0.327,65.4
Rucker, Michael,621074,CHC,FF,4-Seamer,0.1,0,197,47.4,50,0.225,0.4,0.343,22.40,16,16.3,0.255,0.466,0.354,38.2
Foster, Matt,641582,CWS,SL,Slider,0.1,0,209,34.2,50,0.25,0.386,0.33,26.70,24,16.2,0.256,0.389,0.32,24.2
Hicks, Jordan,663855,STL,SL,Slider,-0.6,-1,184,28.4,50,0.1,0.275,0.277,43.50,48,30,0.13,0.286,0.293,18.8
López, Pablo,641154,MIA,FC,Cutter,0,0,211,12.8,50,0.283,0.696,0.427,25.20,10,11.1,0.285,0.595,0.392,41.5
Cimber, Adam,643256,TOR,SL,Slider,-0.4,-1,207,36.9,50,0.244,0.467,0.322,22.10,16,16,0.264,0.556,0.347,40
Nance, Tommy,667297,MIA,CUKC,Curveball,-0.5,-1,202,49.9,50,0.234,0.319,0.268,44.30,44,32.8,0.215,0.305,0.251,32
Cotton, Jharel,605194,MIN,FF,4-Seamer,-1.7,-4,238,47.8,50,0.244,0.512,0.372,19.80,6,7.1,0.27,0.542,0.39,23.1
García, Jarlín,606424,SF,FF,4-Seamer,-0.8,-2,199,39.6,50,0.217,0.37,0.305,14.70,20,19.6,0.267,0.476,0.342,50
Cortes, Nestor,641482,NYY,SL,Slider,0.7,2,253,16.9,50,0.292,0.521,0.36,18.40,16,16.7,0.253,0.455,0.314,25
Greinke, Zack,425844,KC,CH,Changeup,1.5,3,209,16,50,0.289,0.333,0.304,12.50,8,5.7,0.307,0.384,0.36,47.6
Quintana, José,500779,PIT,SIFT,Sinker,0.8,2,226,14.4,50,0.391,0.5,0.423,8.10,2,4.3,0.361,0.595,0.427,40
Houser, Adrian,605288,MIL,FF,4-Seamer,1.3,3,225,16.6,50,0.255,0.426,0.334,20.60,38,20,0.206,0.378,0.272,35.7
De Jong, Chase,608328,PIT,SL,Slider,-2.6,-5,176,30.3,50,0.188,0.292,0.226,43.30,40,30.3,0.153,0.29,0.205,32.1
Rodríguez, Joely,570257,NYM,CH,Changeup,-0.7,-1,174,37,50,0.14,0.233,0.253,38.60,28,19.7,0.232,0.353,0.312,37.9
Adam, Jason,592094,TB,CH,Changeup,-2.5,-4,181,32.3,50,0.13,0.261,0.207,34.40,30,22.7,0.177,0.225,0.217,25.8
Brubaker, JT,664141,PIT,CUKC,Curveball,-0.6,-1,227,14.6,50,0.208,0.313,0.286,33.00,26,25.5,0.222,0.385,0.273,34.3
