last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Watkins, Spenser,657093,91.4,,87.1,78.8,86.1,77,,
Williams, Trevor,592866,91,88.8,,81.8,84.4,78.2,,
Clevinger, Mike,605182,94,93.5,88,79.8,86.3,76.4,,
Contreras, Roansy,672710,96.2,,,85.1,89.9,79.6,,
García, Rony,665621,92.9,92.5,,,87.5,80.3,,
Suarez, José,660761,92.6,91.2,,79.7,82.3,77.7,,
Houck, Tanner,656557,95.2,94.5,,85.4,,,87.5,
Voth, Austin,608723,93.9,,90,,87.1,77.7,,
Odorizzi, Jake,543606,92.1,92.2,87.8,82.6,,72,85.3,
Hoffman, Jeff,656546,94.2,,,81.2,87.7,,,
Pilkington, Konnor,663455,92.1,92,,81.7,84.3,76.1,,
Whitlock, Garrett,676477,95,95.1,,82.9,84.5,,,
Bradish, Kyle,680694,94.8,,,86,89.5,82,,
Velasquez, Vince,592826,93.4,91.9,,84.9,88.2,81.7,,
Minor, Mike,501985,90.4,,,85,84.4,79,,
Akin, Keegan,669211,93.3,,,84.6,83.8,75.1,,
Nelson, Nick,656793,96.1,,,89.1,87.9,81.8,,
Scott, Tanner,656945,96.9,,,89.2,,,,
Smith, Caleb,592761,92.2,,,85.7,84.1,79,,
Junis, Jakob,596001,87.6,91.5,85.6,82.2,83.9,,,
Moore, Matt,519043,94.2,,,,85.3,83.4,,
Lynn, Lance,458681,92.7,91.3,88.9,86.8,85.6,82.9,,
King, Michael,650633,96.4,95.5,,82.3,88.3,,,
Kremer, Dean,665152,93.3,,87.2,79.2,84.2,76,,
Burke, Brock,656271,94.9,93.4,,85.8,87.8,,,
Matz, Steven,571927,,94.5,,89.6,85.1,77.8,,
Wick, Rowan,592858,94.7,,93,82.5,,76.8,,
Garrett, Braxton,666129,91.5,91,,84.4,85.7,78.7,,
Coleman, Dylan,669395,97.6,98.2,,84.7,,,,
Castellanos, Humberto,528748,89.4,90.4,,86.2,84,76.5,,
Jax, Griffin,643377,95.2,,,86.3,89.4,82.6,,
Diekman, Jake,518617,95.6,95.2,,81.1,87.4,,,
Davis, Austin,656354,93.8,,,80.5,85.8,79.8,,
Baker, Bryan,641329,95.6,,86.7,,83.6,,,
Clarke, Taylor,664199,95.6,,,88.3,89,,,
López, Jorge,605347,97.3,97.8,,87.5,90.3,83.9,,
Alexander, Jason,669920,93.2,92.6,,80.8,81.7,,,
Crawford, Kutter,676710,95,,89,85.4,87.4,79.7,,
Ruiz, José,614179,97,,,,89.7,86.1,,
Barlow, Scott,605130,93.4,93.1,,84.4,,78.6,,
Hutchison, Drew,571800,92.6,93,,85.7,86.9,,,
Yarbrough, Ryan,642232,,86.6,83,,78.6,71.5,,
Wisler, Matt,605538,89.7,,,79.8,,,,
Jackson, Zach,667427,94.6,,94.2,85.3,88.9,,,
Bednar, David,670280,96.5,95.2,,,,77.3,89.8,
Winder, Josh,680739,94,,,84.2,88.5,80.8,,
Cishek, Steve,518553,89.3,90,,76.7,83.7,,,
Ramírez, Erasmo,541640,93.5,92.8,88.8,,85.2,80.3,,
Chacín, Jhoulys,468504,92.7,93.1,,87.1,85.4,80,,
Rogers, Tyler,643511,83.3,83.6,,71.9,,,,
Peralta, Freddy,642547,92.7,92.9,,80.5,85.8,77.1,,
Stratton, Chris,608717,92.6,91.8,,86.4,86.7,80.6,,
Maton, Phil,664208,90.9,89,82.3,80.4,84.2,74.5,,
Megill, Tylor,656731,95.7,,87.6,85.3,89.1,80.4,,
Phelps, David,475479,93.3,93.3,89.8,,86.8,81.6,,
Hicks, Jordan,663855,99.4,99.3,,84.2,92,,,
Banks, Tanner,621383,92.8,,,86.7,84.7,,,
McHugh, Collin,543521,90.8,,88.7,80.1,,72,,
Crismatt, Nabil,622503,90.5,90,,84,82.8,72.7,,
Smith, Drew,622098,95.7,96.1,,85.3,85.1,77.7,,
Tate, Dillon,622253,93,94.1,,80.9,84.1,,,
Gutierrez, Vladimir,661269,92.8,,,82.2,82.9,78.4,,
Brebbia, John,605154,94.4,,,83.8,,,,
Chavez, Jesse,445926,90,90.9,88.8,78.2,85.4,76.7,,
Doval, Camilo,666808,,98.3,99.1,87.3,,,,
Minter, A.J.,621345,96.6,,90.5,,87.6,,,
Long, Sam,669674,94.7,93,,,84.3,77,,
Rogers, Taylor,573124,93.9,94.5,,81.2,,,,
Richards, Trevor,670950,93.4,,,,84.5,84.4,,
Graveman, Kendall,608665,96.4,96.4,,88.6,91,83.2,,
Rodriguez, Eduardo,593958,91.9,92,88.7,82.7,85.4,,,
Knebel, Corey,608349,95.6,,,,,78.6,,
Winckowski, Josh,670174,93.4,93.9,88,84.5,89.6,,,
Givens, Mychal,571710,93.5,,,84.9,81.9,,,
Beeks, Jalen,656222,95.1,,85.9,82.1,90.2,,,
Barría, Jaime,642545,92.1,92,,85.4,84.7,,,
Williams, Devin,642207,94.3,,86.5,,83.8,,,
Duran, Jhoan,661395,100.5,,89.7,,,87.6,96.2,
López, Reynaldo,625643,96.8,,,87.4,85.5,80.3,,
Acevedo, Domingo,642758,92.7,92.2,,86.2,86.4,,,
Sampson, Adrian,592716,92.7,92.3,85.3,83.4,85.6,,,
Swarmer, Matt,664161,90.5,,,82.1,85.7,,,
Smith, Will,519293,92.2,,,81.3,,77,,
Morgan, Eli,669212,92,,88.5,85.5,75.7,79,,
Gallegos, Giovanny,606149,94.2,,,85.4,87,,,
Pineda, Michael,501381,89.8,,,80.5,85.3,,,
Duffey, Tyler,608648,92.3,92.5,,,79.2,82.6,,
Neris, Héctor,593576,94.3,94.7,,87.9,,,85.1,
Boxberger, Brad,502202,92.8,,,87.3,81.1,,,
Finnegan, Kyle,640448,,96.6,,88.9,,,88.1,
Puk, A.J.,640462,96.6,96.1,,86.6,89,,,
Strickland, Hunter,519326,95.4,95.5,,85,90.7,,,
Díaz, Edwin,621242,99,95.2,,90.6,,,,
Kimbrel, Craig,518886,96,,,,,86.1,,
Foster, Matt,641582,93.6,,92.6,85.7,83.8,79.5,,
Leiter Jr., Mark,643410,91.1,91,87.4,79,84,73.1,,
Muñoz, Andrés,662253,100,,,87.5,,,,
Abreu, Bryan,650556,97.5,,,88.7,89.7,84.1,,
Okert, Steven,595345,93.5,,,81.7,,,,
Ottavino, Adam,493603,94.8,94.1,87.9,80.9,88.9,,,
Ramirez, Noé,598287,90,,,,84.1,78.1,,
Montero, Rafael,606160,96.4,95.9,,87.8,90.9,,,
Bautista, Félix,642585,98.7,,,84.6,,,87.8,
Suter, Brent,608718,86.6,87.7,,,78,78.9,,
Machado, Andres,600921,96.1,95.5,,87.3,89.4,,,
Pagán, Emilio,641941,95.3,,85.1,84.6,,,88.8,
Estévez, Carlos,608032,97.5,,,87.3,88.5,,,
Robertson, David,502085,,,93.3,83,,85.1,,
Holmes, Clay,605280,98,96.9,,85.2,,,,
Sawamura, Hirokazu,617228,95.9,,,85.7,,,91.8,
Lange, Alex,656638,95.6,96.2,,,89.6,85.3,,
Oller, Adam,670124,93.8,93.6,89.4,82.7,87,,,
Sanmartin, Reiver,665665,90.6,90.1,,81.9,84.8,,,
Milner, Hoby,571948,89.1,88.7,,,81.2,79.2,,
Díaz, Alexis,664747,95.7,,,86.6,,81.4,,
Lugo, Seth,607625,94.1,94,,88.5,87.7,79.3,,
Hernández, Carlos,672578,95.6,94.1,,84.9,,81,84.1,
Logue, Zach,656657,90,,85.7,,81.7,77.3,,
Beede, Tyler,595881,95.9,96.1,,87.5,84.8,78.8,,
Thielbar, Caleb,573204,92.6,,,81,82.7,72.8,,
Loup, Aaron,571901,,91.5,85.1,,80.7,76.1,,
Soto, Gregory,642397,98.6,97.9,,89.1,92.2,,,
Vest, Will,676684,95,,,86.3,86.9,,,
Santana, Dennis,642701,97.4,96.5,,85.5,89.6,,,
Jiménez, Joe,641729,95.7,,,84.8,90.4,,,
Jefferies, Daulton,641726,92.3,92.5,89.5,,86,80.1,,
Payamps, Joel,606303,95,94.5,,81.8,88.9,,,
Sewald, Paul,623149,92.6,,,82.6,,,,
Helsley, Ryan,664854,99.1,,,88.5,89.7,79.6,,
Krehbiel, Joey,607216,94,,85,79.8,84,,,
Lodolo, Nick,666157,91.9,94.3,,,88,82.3,,
Bard, Daniel,453268,97.3,98,,88.3,90.5,,,
García, Luis,472610,,98.2,,82.6,,,88.4,
Gilbreath, Lucas,656458,93.8,,,82.4,,,85.1,
Effross, Scott,664123,90.5,90.2,,79.6,82.6,,,
Shaw, Bryan,543766,92.8,,92.6,84.3,81.5,81.9,,
Cimber, Adam,643256,86.7,86.6,,77.8,,,,
