last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Nelson, Nick,656793,96.2,,,89.8,87.9,81.9,,
Alexander, Tyler,641302,90.1,90,85.4,78.2,82.9,,,
Ramírez, Erasmo,541640,93.7,92.9,88.9,,85.3,80.5,,
Barlow, Scott,605130,93.6,93.1,,84.3,,78.6,,
Cishek, Steve,518553,89.3,89.9,,76.6,83.7,,,
Houck, Tanner,656557,95.2,94.5,,85.4,,,87.6,
Barría, Jaime,642545,92.1,91.8,,85.3,85.1,,,
Ureña, José,570632,96.3,95.9,,87.3,90.5,,,
Coleman, Dylan,669395,97.7,98.4,,84.2,,,,
Baker, Bryan,641329,95.9,,87,,83.7,,,
López, Jorge,605347,97.4,97.8,,87.2,90.2,84,,
Diekman, Jake,518617,95.7,95.4,,81.3,87.2,,,
Lodolo, Nick,666157,91.9,94.3,,,88.2,82,,
Ruiz, José,614179,97,,,,89.9,86.3,,
Velasquez, Vince,592826,93.3,91.9,,84.8,88.2,81.7,,
Jax, Griffin,643377,95.3,,,86.4,89.6,82.6,,
Wick, Rowan,592858,94.7,,93,82.4,,76.8,,
Beede, Tyler,595881,95.9,95.9,,87.7,84.9,79.2,,
García, Rony,665621,92.9,92.5,,,87.5,80.3,,
Chavez, Jesse,445926,90.3,91.1,89,78,85.5,76.4,,
Luzardo, Jesús,666200,96.8,95.9,,,86.8,83.8,,
Hicks, Jordan,663855,98.8,99.4,,84.6,92,,,
Rogers, Tyler,643511,83.3,83.6,,71.9,,,,
Jackson, Zach,667427,94.5,,94.2,85.2,88.9,,,
Stratton, Chris,608717,92.7,92.2,,86.5,86.7,80.6,,
Smith, Caleb,592761,92.2,,,85.6,83.9,79,,
Phelps, David,475479,93.3,93.3,89.9,,86.7,81.7,,
Leiter Jr., Mark,643410,91.1,90.9,87.4,79.4,84.3,73.2,,
Doval, Camilo,666808,,98.5,99.2,87.5,,,,
McHugh, Collin,543521,90.9,,88.8,80.2,,72.2,,
