last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Thompson, Zack,668868,2001,,1967,,1452,2789,,
Henry, Tommy,674072,2206,2255,,2230,1494,2397,,
Sborz, Josh,622250,2321,,,2077,,2245,,
Vespi, Nick,663989,2273,,,2561,,2418,,
Lawrence, Justin,664875,,2288,,2803,,,,
Pop, Zach,647315,,2060,,2372,1927,,,
Lamet, Dinelson,659275,2362,2280,,2374,,,,
Woodford, Jake,663765,2223,2045,,2458,1399,2585,,
Feyereisen, J.P.,656420,2345,,,2715,1456,,,
Overton, Connor,656818,2229,2131,,2454,1697,2406,,
Barnes, Jacob,606930,2406,,2320,2174,,,,
Romo, Sergio,489265,2272,2150,,2789,2121,,,
Karinchak, James,675916,2317,,,,,2409,,
Bolaños, Ronald,671790,2196,2200,,2423,1486,2538,,
Sulser, Beau,676641,2351,2347,2345,,1466,2496,,
Nogosek, Stephen,668665,2274,,2244,2380,1404,2298,,
DeSclafani, Anthony,543101,2272,2082,,2204,1827,2031,,
Harvey, Hunter,640451,2003,1945,,2340,,1978,1013,
Kolarek, Adam,592473,2174,2166,,2050,2115,,,
Bummer, Aaron,607481,,2100,2390,2477,1868,,,
Ramirez, Yohan,670990,2231,2244,,2375,,,,
Tapia, Domingo,593619,2281,2168,,2352,1768,,,
Kowar, Jackson,663804,2259,,,2302,2512,2352,,
Ferguson, Caleb,657571,2320,,,,,3084,,
Espinoza, Anderson,659262,1890,,,2172,2059,,,
Bello, Brayan,678394,2237,2137,,2537,1871,,,
Peguero, Elvis,665625,,1987,,2525,,,,
Morejon, Adrian,670970,2499,,,2678,856,2553,,
Llovera, Mauricio,661440,2139,2110,,2396,,,,
Brazoban, Huascar,623211,2228,2269,2364,,1842,,,
Taylor, Blake,642130,2347,,,2246,,,,
deGrom, Jacob,594798,2470,,,2575,1563,2684,,
Bradley, Archie,605151,2186,2087,,,1396,1968,,
González, Chi Chi,592346,2301,2173,2327,2572,1922,2521,,
Mills, Alec,621219,2193,2181,,2569,1691,2314,,
Hembree, Heath,592390,2296,,,2644,,2652,,
Speier, Gabe,642100,2166,1941,,2091,1303,,,
Lemoine, Jacob,621082,2108,2070,,2242,1517,,,
Ort, Kaleb,672391,2177,2467,,2394,1860,,,
Uceta, Edwin,670955,2431,2344,,2520,2118,2575,,
Valdez, Phillips,570488,,2378,,2323,2038,,,
Merryweather, Julian,657240,2235,,,2315,1337,2304,,
May, Trevor,543507,2270,,,2425,1745,,1126,
Steckenrider, Drew,608716,2300,,,2147,1758,2072,,
Dugger, Robert,667498,2120,2053,,2292,1408,2240,,
Cano, Yennier,666974,2272,2241,,2491,1805,,,
Faucher, Calvin,676534,,2242,,2779,,2930,,
Crick, Kyle,605195,2321,2141,,3053,,,,
Grimm, Justin,518748,2113,,,2367,,2238,,
Toussaint, Touki,657053,2241,2207,,,,2398,1577,
Bender, Anthony,669622,2236,2231,,2489,1779,,,
Álvarez, José,501625,2146,2026,,2161,1659,,,
Whitley, Kodi,676831,2241,,,1933,1874,,,
Beasley, Jeremy,676886,2440,,,2449,,2316,1345,
Strzelecki, Peter,657265,2409,,,2971,1739,,,
Warren, Austin,681810,2385,2202,,2636,1974,,,
Miley, Wade,489119,2263,2035,2268,2323,1777,2345,,
Yajure, Miguel,664337,2288,2113,2311,2128,1510,2590,,
Ragans, Cole,666142,2387,,2448,,2155,2285,,
Fernández, Junior,658551,2167,2046,,2127,1880,,,
Castro, Anthony,621593,2414,2303,,2593,2090,,,
Bruihl, Justin,677865,,2156,2291,2388,,,,
Yacabonis, Jimmy,642231,,2245,,2790,1797,,,
Stout, Eric,657770,2256,,,2453,1516,,,
Scott, Tayler,605463,2225,2228,,2769,1689,,,
Lawrence, Casey,596271,2230,2169,,2465,1781,2433,,
